id_execucao,sha_commit,mensagem_commit,status,duracao_workflow,lead_time,nome_job,duracao_job,nome_etapa,duracao_etapa,total_testes,falhas_testes,tempo_medio_testes,timestamp
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Análise Estática (Lint),9.0,Set up job,1.0,0,0,0.0,2026-06-07T20:12:09Z
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Análise Estática (Lint),9.0,Baixar código-fonte,1.0,0,0,0.0,2026-06-07T20:12:09Z
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Análise Estática (Lint),9.0,Configurar Python 3.11,1.0,0,0,0.0,2026-06-07T20:12:09Z
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Análise Estática (Lint),9.0,Instalar flake8,1.0,0,0,0.0,2026-06-07T20:12:09Z
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Análise Estática (Lint),9.0,Executar análise estática,1.0,0,0,0.0,2026-06-07T20:12:09Z
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Análise Estática (Lint),9.0,Post Configurar Python 3.11,0.0,0,0,0.0,2026-06-07T20:12:09Z
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Análise Estática (Lint),9.0,Post Baixar código-fonte,0.0,0,0,0.0,2026-06-07T20:12:09Z
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Análise Estática (Lint),9.0,Complete job,0.0,0,0,0.0,2026-06-07T20:12:09Z
27103518601,0c561042,"test: adicionar 10 novos testes, totalizando 26",failure,13.0,13.0,Executar Testes Automatizados,0.0,,,0,0,0.0,2026-06-07T20:12:09Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Análise Estática (Lint),9.0,Set up job,2.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Análise Estática (Lint),9.0,Baixar código-fonte,0.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Análise Estática (Lint),9.0,Configurar Python 3.11,3.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Análise Estática (Lint),9.0,Instalar flake8,1.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Análise Estática (Lint),9.0,Executar análise estática,1.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Análise Estática (Lint),9.0,Post Configurar Python 3.11,0.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Análise Estática (Lint),9.0,Post Baixar código-fonte,0.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Análise Estática (Lint),9.0,Complete job,0.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Set up job,1.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Baixar código-fonte,1.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Configurar Python 3.11,1.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Instalar dependências de desenvolvimento,2.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Executar testes com pytest,4.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Processar resultados dos testes,0.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Publicar artefatos dos testes,0.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Post Configurar Python 3.11,1.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Post Baixar código-fonte,0.0,16,0,0.25,2026-06-07T20:10:18Z
27103475794,a71c1dc6,ci: restaurar jobs sequenciais para comparacao com execucao paralela,success,31.0,31.0,Executar Testes Automatizados,12.0,Complete job,0.0,16,0,0.25,2026-06-07T20:10:18Z
27103448062,23efa2cb,ci: configurar jobs em paralelo (lint e test simultaneos),success,16.0,16.0,Análise Estática (Lint),5.0,Set up job,0.0,16,0,0.1875,2026-06-07T20:09:05Z
27103448062,23efa2cb,ci: configurar jobs em paralelo (lint e test simultaneos),success,16.0,16.0,Análise Estática (Lint),5.0,Baixar código-fonte,1.0,16,0,0.1875,2026-06-07T20:09:05Z
27103448062,23efa2cb,ci: configurar jobs em paralelo (lint e test simultaneos),success,16.0,16.0,Análise Estática (Lint),5.0,Configurar Python 3.11,1.0,16,0,0.1875,2026-06-07T20:09:05Z
